Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2012-01-03,29335.50,Central Office of Information,The Hub,,
2012-01-03,41183.40,Central Office of Information,S8080 Ltd,,
2012-01-03,45327.20,Central Office of Information,Blue Rubicon Ltd,,
2012-01-03,23415.22,Central Office of Information,Callcredit Marketing Solutions Limited,,
2012-01-03,33250.00,Central Office of Information,Ipsos MORI,,
2012-01-03,35000.00,Central Office of Information,M&C Saatchi Ltd,,
2012-01-03,32961.89,Central Office of Information,The Listening Company Ltd,,
2012-01-03,34590.31,Central Office of Information,The Listening Company Ltd,,
2012-01-03,82898.79,Central Office of Information,The Listening Company Ltd,,
2012-01-03,38220.00,Central Office of Information,TNS-BMRB,,
2012-01-03,24542.31,Central Office of Information,E C Group,,
2012-01-03,42494.07,Central Office of Information,Profero London Ltd,,
2012-01-03,58569.65,Central Office of Information,Howitt Ltd,,
2012-01-03,208769.03,Central Office of Information,Howitt Ltd,,
2012-01-03,100000.00,Central Office of Information,DLKWLowe,,
2012-01-03,29050.00,Central Office of Information,Ipsos MORI,,
2012-01-03,54575.00,Central Office of Information,DDB London LTD,,
2012-01-10,38735.55,Central Office of Information,AKQA Ltd,,
2012-01-10,46042.20,Central Office of Information,AKQA Ltd,,
2012-01-10,48193.20,Central Office of Information,AKQA Ltd,,
2012-01-10,27404.26,Central Office of Information,Golley Slater Group,,
2012-01-10,63382.04,Central Office of Information,Golley Slater Group,,
2012-01-10,69621.00,Central Office of Information,Golley Slater Group,,
2012-01-10,68155.00,Central Office of Information,Haymarket Network/Publishing Services,,
2012-01-10,78076.00,Central Office of Information,Haymarket Network/Publishing Services,,
2012-01-10,22308.56,Central Office of Information,M4C,,
2012-01-10,33888.65,Central Office of Information,ZenithOptimedia UK Ltd,,
2012-01-10,31684.32,Central Office of Information,Denmaur Papers Plc,,
2012-01-10,60000.00,Central Office of Information,GfK NOP Ltd,,
2012-01-10,27067.88,Central Office of Information,M4C,,
2012-01-10,98983.00,Central Office of Information,S8080 Ltd,,
2012-01-10,44939.00,Central Office of Information,M&C Saatchi Ltd,,
2012-01-10,54393.50,Central Office of Information,M&C Saatchi Ltd,,
2012-01-10,121882.00,Central Office of Information,M&C Saatchi Ltd,,
2012-01-10,37648.35,Central Office of Information,M4C,,
2012-01-10,91269.42,Central Office of Information,M4C,,
2012-01-10,74541.68,Central Office of Information,The Listening Company Ltd,,
2012-01-10,36247.11,Central Office of Information,Experian Ltd,,
2012-01-10,21375.00,Central Office of Information,YouGov Plc,,
2012-01-10,22867.50,Central Office of Information,GfK NOP Ltd,,
2012-01-10,32850.00,Central Office of Information,GfK NOP Ltd,,
2012-01-10,34003.41,Central Office of Information,M4C,,
2012-01-10,154709.29,Central Office of Information,M4C,,
2012-01-10,23159.19,Central Office of Information,M4C,,
2012-01-10,48504.60,Central Office of Information,M4C,,
2012-01-10,106160.56,Central Office of Information,M4C,,
2012-01-10,34500.00,Central Office of Information,Binary Vision Ltd,,
2012-01-10,33399.42,Central Office of Information,Golley Slater Group,,
2012-01-10,34500.00,Central Office of Information,LIDA Ltd,,
2012-01-10,34672.65,Central Office of Information,M4C,,
2012-01-10,35243.16,Central Office of Information,Golley Slater Group,,
2012-01-10,29300.00,Central Office of Information,GfK NOP Ltd,,
2012-01-10,41149.61,Central Office of Information,M4C,,
2012-01-10,33904.62,Central Office of Information,M4C,,
2012-01-10,66408.07,Central Office of Information,M4C,,
2012-01-10,21973.89,Central Office of Information,M4C,,
2012-01-13,817786.00,Central Office of Information,Careline Services Ltd,,
2012-01-17,85274.22,Central Office of Information,Golley Slater Group,,
2012-01-17,38982.00,Central Office of Information,Haymarket Network/Publishing Services,,
2012-01-17,150000.00,Central Office of Information,Publicis Ltd,,
2012-01-17,20919.97,Central Office of Information,Canon (UK) Ltd,,
2012-01-17,24150.63,Central Office of Information,Emprise Services Plc - t/aPerfectus Ltd,,
2012-01-17,105216.04,Central Office of Information,M4C,,
2012-01-17,288524.65,Central Office of Information,M4C,,
2012-01-17,29638.99,Central Office of Information,Dataforce Group Ltd,,
2012-01-17,29638.99,Central Office of Information,Dataforce Group Ltd,,
2012-01-17,30977.99,Central Office of Information,Dataforce Group Ltd,,
2012-01-17,28400.00,Central Office of Information,Optimisa Research Limited,,
2012-01-17,48200.00,Central Office of Information,Freud Communication Ltd,,
2012-01-17,35000.00,Central Office of Information,Fuel Data Strategies,,
2012-01-17,35000.00,Central Office of Information,Fuel Data Strategies,,
2012-01-17,45922.43,Central Office of Information,Howitt Ltd,,
2012-01-17,97249.57,Central Office of Information,Howitt Ltd,,
2012-01-17,149040.00,Central Office of Information,Inventures - Capita Symonds,,
2012-01-17,30862.56,Central Office of Information,M&C Saatchi Ltd,,
2012-01-17,23259.37,Central Office of Information,M4C,,
2012-01-17,23538.03,Central Office of Information,M4C,,
2012-01-17,31622.07,Central Office of Information,M4C,,
2012-01-17,95220.96,Central Office of Information,M4C,,
2012-01-17,103160.73,Central Office of Information,M4C,,
2012-01-17,110456.79,Central Office of Information,M4C,,
2012-01-17,148418.50,Central Office of Information,M4C,,
2012-01-17,27516.00,Central Office of Information,Profero London Ltd,,
2012-01-17,34525.00,Central Office of Information,Data Lateral Ltd,,
2012-01-17,27854.79,Central Office of Information,M4C,,
2012-01-17,29294.91,Central Office of Information,M4C,,
2012-01-17,48171.74,Central Office of Information,M4C,,
2012-01-17,27110.00,Central Office of Information,Mother Advertising Ltd,,
2012-01-17,119385.00,Central Office of Information,Mother Advertising Ltd,,
2012-01-17,52801.63,Central Office of Information,M4C,,
2012-01-17,39056.51,Central Office of Information,M4C,,
2012-01-17,53994.71,Central Office of Information,M4C,,
2012-01-17,23159.22,Central Office of Information,Howitt Ltd,,
2012-01-17,21874.63,Central Office of Information,MM teleperformance Ltd,,
2012-01-17,31245.00,Central Office of Information,User Vision,,
2012-01-17,31245.00,Central Office of Information,User Vision,,
2012-01-17,21014.58,Central Office of Information,M4C,,
2012-01-17,56305.94,Central Office of Information,M4C,,
2012-01-17,167897.12,Central Office of Information,M4C,,
2012-01-17,72181.80,Central Office of Information,Smuggler,,
2012-01-17,51710.36,Central Office of Information,DLKWLowe,,
2012-01-17,30585.00,Central Office of Information,GfK NOP Ltd,,
2012-01-17,22798.00,Central Office of Information,DraftFCB,,
2012-01-17,26756.66,Central Office of Information,DraftFCB,,
2012-01-17,26848.00,Central Office of Information,DraftFCB,,
2012-01-17,28529.33,Central Office of Information,DraftFCB,,
2012-01-17,81689.37,Central Office of Information,DraftFCB,,
2012-01-17,88860.67,Central Office of Information,DraftFCB,,
2012-01-17,33222.21,Central Office of Information,M4C,,
2012-01-17,38434.00,Central Office of Information,Nelson Bostock Communications,,
2012-01-17,25060.34,Central Office of Information,M4C,,
2012-01-17,99091.18,Central Office of Information,M4C,,
2012-01-24,49125.53,Central Office of Information,Broadcasting Support Services (BSS),,
2012-01-24,294335.57,Central Office of Information,Careline Services Ltd,,
2012-01-24,30595.51,Central Office of Information,Dataforce Group Ltd,,
2012-01-24,171702.00,Central Office of Information,EMO Ltd,,
2012-01-24,38000.00,Central Office of Information,Freud Communication Ltd,,
2012-01-24,23240.00,Central Office of Information,Greenshires Group Ltd,,
2012-01-24,35805.00,Central Office of Information,Greenshires Group Ltd,,
2012-01-24,223725.00,Central Office of Information,Greenshires Group Ltd,,
2012-01-24,45000.00,Central Office of Information,IDS UK Ltd,,
2012-01-24,33186.00,Central Office of Information,M&C Saatchi Ltd,,
2012-01-24,81995.00,Central Office of Information,M&C Saatchi Ltd,,
2012-01-24,28245.00,Central Office of Information,Partners Andrews Aldridge Limited,,
2012-01-24,81889.00,Central Office of Information,Eclipse Colour Print,,
2012-01-24,70000.00,Central Office of Information,DDB London LTD,,
2012-01-24,21638.53,Central Office of Information,Broadcasting Support Services (BSS),,
2012-01-24,29145.00,Central Office of Information,Callcredit Marketing Solutions Limited,,
2012-01-24,51900.00,Central Office of Information,BMG Research,,
2012-01-24,27460.00,Central Office of Information,Direct Relations Limited,,
2012-01-31,21147.21,Central Office of Information,British Telecommunications Plc,,
2012-01-31,37563.50,Central Office of Information,Cable & Wireless Communication,,
2012-01-31,102926.25,Central Office of Information,Sledge Ltd,,
2012-01-31,37908.37,Central Office of Information,Callcredit Marketing Solutions Limited,,
2012-01-31,45000.00,Central Office of Information,Greenshires Group Ltd,,
2012-01-31,27360.00,Central Office of Information,Miles Calcraft Briginshaw Duffy,,
2012-01-31,49590.00,Central Office of Information,Miles Calcraft Briginshaw Duffy,,
2012-01-31,70030.00,Central Office of Information,Miles Calcraft Briginshaw Duffy,,
2012-01-31,106345.00,Central Office of Information,Miles Calcraft Briginshaw Duffy,,
2012-01-31,59459.00,Central Office of Information,Royal Mail,,
2012-01-31,24875.00,Central Office of Information,Holden Pearmain Research Ltd,,
2012-01-31,23796.00,Central Office of Information,Tullo Marshall Warren Ltd,,
2012-01-31,92057.80,Central Office of Information,Rogue Films Ltd,,
