Payment Date,Amount,Benificiary Name,Organisational Unit
2011-08-17,35538.35,2011:06D  Dementia,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,1660.80,2011:06DSLDual Sensory Loss,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,197491.73,2011:06FTIFrailty And/Or Temporary Illness,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,112565.99,2011:06LD Learning Disabilities,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,5140.80,2011:06MH Mental Health (Except Dementia),"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,210.00,2011:06OV Other Vulnerable People,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,336.00,2011:06OV Other Vulnerable People,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,230388.88,2011:06PD Physically Disabled,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-17,10896.00,2011:06VI Visual Impairment,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-30,11101.86,3Corners,Children and Young People-Childrens Services Unit
2011-08-18,601.13,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2011-08-18,150.00,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2011-08-30,829.21,@first parts solutions - Brunel Ford,Economy and Environment-Transport Vehicle Maintenance Workshop
2011-08-04,1821.21,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-08-04,1721.12,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-08-04,775.72,A & M,Deputy Chief Executive-School & Welfare Catering DSO - South
2011-08-18,1200.00,A & R Training Services Ltd,Children and Young People-Childrens Services Unit
2011-08-01,1464.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-01,170.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-01,922.00,A Ashworth & Son Landscapes Ltd,Safer and Stronger-Libraries Info & Tourism
2011-08-01,1894.00,A Ashworth & Son Landscapes Ltd,Safer and Stronger-Recreation & Support
2011-08-01,1317.74,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-04,998.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-11,846.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-15,3633.16,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-15,6402.62,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-15,1186.00,A Ashworth & Son Landscapes Ltd,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-22,599.00,A Ashworth & Son Landscapes Ltd,Children and Young People-Education - Capital
2011-08-22,1271.00,A Ashworth & Son Landscapes Ltd,Children and Young People-Education - Capital
2011-08-22,2650.00,A Ashworth & Son Landscapes Ltd,Children and Young People-Education - Capital
2011-08-22,541.00,A Ashworth & Son Landscapes Ltd,Children and Young People-Schools and Children's Services - Non-School
2011-08-30,834.00,A Ashworth & Son Landscapes Ltd,Economy and Environment-Housing Services - Capital
2011-08-18,720.50,A S M Accessories Ltd,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-18,65.00,A S M Accessories Ltd,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-18,480.00,A S M Accessories Ltd,"Adults, Health and Social Care-Adult Health & Social Care"
2011-08-04,14000.00,A. Lowrie Care Service Ltd t/a Cornerstone,Children and Young People-Childrens Care Services
2011-08-15,560.00,ABC Day Nursery,Children and Young People-Childrens Services Unit
2011-08-25,672.84,ABC Day Nursery,Children and Young People-Childrens Services Unit
