Darlington Borough Council - Analysis of Transactions Over £500,,,,,
February 2011,,,,,
,,,,,
,,,,,
text description,text servdesc,apar_name,amount,accdesc,
Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account,
Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,"5,317.73",PROFESSIONAL FEES & CONSULTANCY,
Corporate Services,Accountancy & Local Taxation,EQUITA LTD,672.00,MATERIALS,
Corporate Services,Accountancy & Local Taxation,NORTHERN RECRUITMENT GROUP LIMITED,"5,000.00",TRAINING,
Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,"17,101.39",ICT SOFTWARE SUPPORT & MAINTENANCE,
Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,"21,760.00",PROFESSIONAL FEES & CONSULTANCY,
Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,"4,250.00",PROFESSIONAL FEES & CONSULTANCY,
Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,"12,225.00",PROFESSIONAL FEES & CONSULTANCY,
Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,"1,379.59",SECURITY SERVICES,
Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,601.46,SECURITY SERVICES,
Corporate Services,Corporate Assurance,LRQA,"1,340.00",PROFESSIONAL FEES & CONSULTANCY,
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,660.88,FIRE EXTINGUISHERS & EQUIPMENT
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,874.85,BURGLAR ALARMS
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,517.17,Responsive-Door Entry
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,621.15,Cyclical - Emerg Light & Fire
Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"22,916.65",GAS
Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"2,027.93",GAS
Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"118,237.65",GAS
Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,"1,316.21",EQUIPMENT
Corporate Services,Corporate Services,ELECTRONIC SECURITY SOLUTIONS LTD,746.36,SECURITY SERVICES
Corporate Services,Corporate Services,ENVIRONMENT AGENCY,"1,290.00",ELECTRICITY
Corporate Services,Corporate Services,LANDSCAPE SOLUTIONS,847.00,GROUND MAINTENANCE
Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,"1,290.00",EQUIPMENT
Corporate Services,Corporate Services,MICHAEL DUGGAN,900.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Corporate Services,MOTT MACDONALD,"7,240.00",PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,"4,250.00",RENT OF FACILITIES
Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"1,067.85",WATER CHARGES
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"22,246.72",ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,157.15",ELECTRICITY
