Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,ADARE LIMITED,3054996,545,Stationery
Resources Group,Resources,ALBANY OFFICE FURNITURE SOLUTIONS,3054301,556,Furniture
Resources Group,Resources,CDC RESPOND,3054426,2443.50,Ict Software Support & Maintenance
Resources Group,Resources,ICO,3054982,500,Subscriptions
Resources Group,Resources,ISAPPHIRE LTD,3055686,1145.84,Marketing & Advertising
Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,3055019,1726.99,Professional Fees & Consultancy
Resources Group,Resources,MANNING LIMITED,3055739,1701.72,Agency Staff Costs - Non Teaching
Resources Group,Resources,MR JOSEPH O'BRIEN,3055270,1000.00,Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3055260,700,Professional Fees & Consultancy
Resources Group,Resources,NEIL COOKSON,3035690,873,Consultancy Fees
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3052321,535.84,Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,823.4,Other Supplies & Services
Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3051571,880,Marketing & Advertising
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,622.24,Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1236.88,Postages
Resources Group,Resources,THE NATIONAL ASSOC OF COUNCILLORS,0,832,Subscriptions
Resources Group,Resources,TNT POST LTD,0,4102.90,Postages
Resources Group,Resources,TNT POST LTD,0,1350.18,Postages
Resources Group,Resources,TNT POST LTD,0,686.4,Postages
Resources Group,Resources,TNT POST LTD,0,1789.09,Postages
Resources Group,Resources,TNT POST LTD,0,4040.15,Postages
Resources Group,Resources,TNT POST LTD,0,2513.78,Postages
Resources Group,Resources,TNT POST LTD,0,3405.83,Postages
Resources Group,Resources,TNT POST LTD,0,9302.78,Postages
Resources Group,Finance,DURHAM COUNTY COUNCIL,0,1895.00,Professional Fees & Consultancy
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3046466,14794.00,Professional Fees & Consultancy
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3046466,13561.00,Professional Fees & Consultancy
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,942.43,Security Services
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,942.43,Security Services
Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,629.31,Telephone Costs
Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,9423.80,Telephone Costs
Resources Group,ICT,DATA TRACK TECHNOLOGY PLC,3054241,2204.14,Ict Hardware Support & Maintenance
Resources Group,ICT,MDNX ENTERPRISE SERVICES LTD,0,20000.00,Ict Software Support & Maintenance
Resources Group,ICT,VODAFONE LTD,0,2685.69,Telephone Costs
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,1500.00,Counselling Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1560.00,Physiotherapy Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1800.00,Physiotherapy Recharge
Resources Group,Human resources management,BOND DICKINSON,3051100,9177.00,Professional Fees & Consultancy
Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,4452.00,DBS Checks
Resources Group,Human resources management,DISCLOSURE SCOTLAND,3054370,1150.00,DBS Checks
Resources Group,Human resources management,HARTLEPOOL BOROUGH COUNCIL,3053928,560,Employee Training Course Costs
Resources Group,Human resources management,HARTLEPOOL BOROUGH COUNCIL,3053929,560,Employee Training Course Costs
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,8497.41,Professional Fees & Consultancy
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051384,2484.00,Medical
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,8318.53,Professional Fees & Consultancy
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051384,1734.81,Medical
Resources Group,Human resources management,POSTURITE (UK) LTD,3054783,552.92,Furniture
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3055589,897.09,Cyclical - Intruder Alarms
Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
