Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10003560,EVERSHEDS,550200,PURCHASE OF LAND & BUILDINGS,1900001725,12000000.00,2016-07-06,Housing & Land,Housing & Land Services
10016524,TRANSPORT FOR LONDON,544093,NLE - GRANT PMT TO TFL,CHAPS258,10559682.00,2016-07-13,RESOURCES,Highways and transport services
10020937,LONDON & PARTNERS,542500,Miscellaneous Costs,CHAPS268,3491000.00,2016-07-15,"Development, Enterprise & Environment",Planning services
10020101,DRS DATA SERVICES LIMITED,542355,OTHER PROFESSIONAL FEES,5108812667,1289020.00,2016-07-06,Assembly & Secretariat,Central services
15500400,LONDON BOROUGH OF SOUTHWARK,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108805086,1107798.20,2016-07-06,Development & Environment,Capital
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5108829089,920000.00,2016-07-20,Housing,Housing services
18000104,LB CAMDEN,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900035679,728000.00,2016-07-08,Housing,Capital
10003560,EVERSHEDS,510015,STAMP DUTY,1900001725,589500.00,2016-07-06,Housing & Land,Housing & Land Services
16001111,BAYERISCHE MOTOREN WERKE AG,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108810670,525504.00,2016-07-08,"Development, Enterprise & Environment",Environmental Initiatives
15500400,LONDON BOROUGH OF SOUTHWARK,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108805084,469677.81,2016-07-06,Development & Environment,Capital
10026396,BIG ISSUE INVEST LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108830989,422000.00,2016-07-15,Housing,Capital
10022339,TFL GROUP PROPERTY,510010,PROPERTY MANAGEMENT FEES,5108828611,344729.00,2016-07-13,Housing & Land,Housing & Land Services
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS254,316000.00,2016-07-06,COMMUNITIES & INTELLIGENCE,Cultural & related services
10025276,THE SILVERTOWN PARTNERSHIP LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108828746,290563.30,2016-07-20,Housing,Capital
18000104,LB CAMDEN,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900035680,270650.00,2016-07-08,Housing,Capital
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900037626,250000.00,2016-07-11,Housing,Capital
18000104,LB CAMDEN,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900036166,238914.00,2016-07-08,Housing,Capital
10022975,POPLAR HARCA,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108800570,224897.57,2016-06-29,Development & Environment,Capital
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900037508,216000.00,2016-07-11,Housing,Capital
10016524,TRANSPORT FOR LONDON,502010,SECONDED STAFF,5108823551,200005.42,2016-07-07,Private Office,Corporate and democratic core
18000104,LB CAMDEN,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900036165,191132.00,2016-07-08,Housing,Capital
10026897,SENECA ENVIRONMENTAL SOLUTIONS LTD,510710,NON RECYCLABLE WASTE DISPOSAL/REFUSE COLLECTION,5108835815,188661.60,2016-07-22,Housing & Land,Housing & Land Services
10014161,LONDON BOROUGH OF EALING,544077,HSG GRANTS TO LOCAL AUTHORITIES,5108811174,184700.31,2016-07-12,Housing,Capital
10026799,LAMBETH COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108830366,180631.90,2016-07-19,Development & Environment,Capital
