Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2014-05-01,1133.72,Adult Social Care,The Furnishing Service Ltd,,
2014-05-01,755.31,Adult Social Care,The Furnishing Service Ltd,,
2014-05-01,557.58,Adult Social Care,The Furnishing Service Ltd,,
2014-05-01,655.42,Adult Social Care,Scottish & Southern Energy Plc,,
2014-05-01,642.18,Adult Social Care,Scottish & Southern Energy Plc,,
2014-05-01,545.41,Housing Revenue Account,Scottish & Southern Energy Plc,,
2014-05-01,622.21,Housing Revenue Account,Scottish & Southern Energy Plc,,
2014-05-01,133403.14,Chief Executives,BT PLC,,
2014-05-01,63023.04,Chief Executives,BT PLC,,
2014-05-01,20718.10,Chief Executives,BT PLC,,
2014-05-01,12360.60,Chief Executives,BT PLC,,
2014-05-01,6730.60,Chief Executives,BT PLC,,
2014-05-01,4740.00,Chief Executives,BT PLC,,
2014-05-01,1492.00,Hospitality + Trading Services,Colas Limited,,
2014-05-01,20250.00,Corporate Services,Mace Ltd,,
2014-05-01,853.00,Manchester Leisure,Clean-Up UK Limited,,
2014-05-01,2672.00,Corporate Services,Schneider Electric Ltd,,
2014-05-01,780.00,Adult Social Care,NRS Healthcare,,
2014-05-01,880.10,Adult Social Care,Afro Carribean Care Group,,
2014-05-01,570.00,Manchester Leisure,Royal Northern College Of Music,,
2014-05-01,4186.00,Childrens Services,42nd Street,,
2014-05-01,3407.10,Childrens Services,Social Care Services (Clayton) Ltd,,
2014-05-01,6169.32,Childrens Services,Collyhurst Nursery School,,
2014-05-01,281244.23,Adult Social Care,Refugee Action,,
2014-05-01,1130.43,Chief Executives,National Car Parks Ltd Season Ticke,,
2014-05-01,1792.49,Regeneration Finance,National Car Parks Ltd Season Ticke,,
2014-05-01,4278.57,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,2261.97,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,2007.03,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,1586.83,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,1114.30,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,1047.78,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,933.17,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,563.64,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,553.47,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,578.52,Manchester Leisure,Corona Energy Ltd,,
2014-05-01,15496.38,Libraries and Theatres,Corona Energy Ltd,,
2014-05-01,2505.09,Libraries and Theatres,Corona Energy Ltd,,
2014-05-01,1071.88,Libraries and Theatres,Corona Energy Ltd,,
2014-05-01,681.73,Libraries and Theatres,Corona Energy Ltd,,
2014-05-01,678.78,Libraries and Theatres,Corona Energy Ltd,,
2014-05-01,19842.98,Hospitality + Trading Services,Corona Energy Ltd,,
2014-05-01,4397.44,Hospitality + Trading Services,Corona Energy Ltd,,
2014-05-01,3018.14,Hospitality + Trading Services,Corona Energy Ltd,,
2014-05-01,933.84,Hospitality + Trading Services,Corona Energy Ltd,,
2014-05-01,622.02,Hospitality + Trading Services,Corona Energy Ltd,,
2014-05-01,567.27,Hospitality + Trading Services,Corona Energy Ltd,,
2014-05-01,3513.56,Adult Social Care,Corona Energy Ltd,,
2014-05-01,2389.06,Adult Social Care,Corona Energy Ltd,,
2014-05-01,1534.85,Adult Social Care,Corona Energy Ltd,,
2014-05-01,1424.34,Adult Social Care,Corona Energy Ltd,,
2014-05-01,1371.13,Adult Social Care,Corona Energy Ltd,,
2014-05-01,939.22,Adult Social Care,Corona Energy Ltd,,
2014-05-01,931.15,Adult Social Care,Corona Energy Ltd,,
2014-05-01,883.39,Adult Social Care,Corona Energy Ltd,,
2014-05-01,823.12,Adult Social Care,Corona Energy Ltd,,
2014-05-01,585.89,Adult Social Care,Corona Energy Ltd,,
2014-05-01,554.94,Adult Social Care,Corona Energy Ltd,,
2014-05-01,545.39,Adult Social Care,Corona Energy Ltd,,
2014-05-01,5135.82,Childrens Services,Corona Energy Ltd,,
2014-05-01,1809.05,Childrens Services,Corona Energy Ltd,,
2014-05-01,1545.34,Childrens Services,Corona Energy Ltd,,
2014-05-01,1418.54,Childrens Services,Corona Energy Ltd,,
2014-05-01,1407.01,Childrens Services,Corona Energy Ltd,,
2014-05-01,1094.81,Childrens Services,Corona Energy Ltd,,
2014-05-01,1011.69,Childrens Services,Corona Energy Ltd,,
2014-05-01,983.29,Childrens Services,Corona Energy Ltd,,
2014-05-01,932.61,Childrens Services,Corona Energy Ltd,,
2014-05-01,904.02,Childrens Services,Corona Energy Ltd,,
2014-05-01,903.41,Childrens Services,Corona Energy Ltd,,
2014-05-01,899.35,Childrens Services,Corona Energy Ltd,,
2014-05-01,810.19,Childrens Services,Corona Energy Ltd,,
2014-05-01,777.30,Childrens Services,Corona Energy Ltd,,
2014-05-01,714.47,Childrens Services,Corona Energy Ltd,,
2014-05-01,640.04,Childrens Services,Corona Energy Ltd,,
2014-05-01,639.44,Childrens Services,Corona Energy Ltd,,
2014-05-01,627.27,Childrens Services,Corona Energy Ltd,,
2014-05-01,604.58,Childrens Services,Corona Energy Ltd,,
2014-05-01,602.56,Childrens Services,Corona Energy Ltd,,
2014-05-01,594.05,Childrens Services,Corona Energy Ltd,,
2014-05-01,588.76,Childrens Services,Corona Energy Ltd,,
2014-05-01,572.52,Childrens Services,Corona Energy Ltd,,
2014-05-01,571.73,Childrens Services,Corona Energy Ltd,,
2014-05-01,568.20,Childrens Services,Corona Energy Ltd,,
2014-05-01,545.39,Childrens Services,Corona Energy Ltd,,
2014-05-01,537.67,Childrens Services,Corona Energy Ltd,,
2014-05-01,526.37,Childrens Services,Corona Energy Ltd,,
2014-05-01,509.48,Childrens Services,Corona Energy Ltd,,
2014-05-01,506.44,Childrens Services,Corona Energy Ltd,,
2014-05-01,506.44,Childrens Services,Corona Energy Ltd,,
2014-05-01,506.44,Childrens Services,Corona Energy Ltd,,
2014-05-01,502.00,Childrens Services,Corona Energy Ltd,,
2014-05-01,506.44,Childrens Services,Corona Energy Ltd,,
2014-05-01,506.44,Childrens Services,Corona Energy Ltd,,
2014-05-01,1157.21,Childrens Services,Corona Energy Ltd,,
2014-05-01,1299.85,Childrens Services,Corona Energy Ltd,,
2014-05-01,12672.64,Corporate Services,Corona Energy Ltd,,
2014-05-01,6801.04,Corporate Services,Corona Energy Ltd,,
2014-05-01,5755.72,Corporate Services,Corona Energy Ltd,,
2014-05-01,3573.99,Corporate Services,Corona Energy Ltd,,
2014-05-01,2057.90,Corporate Services,Corona Energy Ltd,,
2014-05-01,2035.29,Corporate Services,Corona Energy Ltd,,
2014-05-01,1720.75,Corporate Services,Corona Energy Ltd,,
2014-05-01,1586.74,Corporate Services,Corona Energy Ltd,,
2014-05-01,1407.92,Corporate Services,Corona Energy Ltd,,
2014-05-01,1381.75,Corporate Services,Corona Energy Ltd,,
2014-05-01,1381.10,Corporate Services,Corona Energy Ltd,,
2014-05-01,1294.49,Corporate Services,Corona Energy Ltd,,
2014-05-01,1259.34,Corporate Services,Corona Energy Ltd,,
2014-05-01,1020.52,Corporate Services,Corona Energy Ltd,,
2014-05-01,725.41,Corporate Services,Corona Energy Ltd,,
2014-05-01,653.65,Corporate Services,Corona Energy Ltd,,
2014-05-01,14236.81,Corporate Services,Corona Energy Ltd,,
2014-05-01,29541.81,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,20965.37,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,10115.14,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,8070.84,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,2527.36,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1560.23,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1381.99,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1379.97,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1366.83,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1351.65,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1340.90,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1208.03,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1204.98,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1171.66,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1140.67,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1080.14,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,895.77,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,727.88,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,614.31,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,507.44,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,700.18,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,805.25,Housing Revenue Account,Corona Energy Ltd,,
2014-05-01,1928.91,Regeneration Finance,Corona Energy Ltd,,
2014-05-01,1750.00,Chief Executives,Stonewall Equality Ltd,,
2014-05-01,30567.73,Chief Executives,Leslie Roberts & Co Ltd,,
2014-05-01,700.00,Environment and Operations,Redacted Personal Information,,
2014-05-01,928.59,Childrens Services,Cresta World Travel t/a Uniglobe,,
2014-05-01,901.82,Chief Executives,Cresta World Travel t/a Uniglobe,,
2014-05-01,588.00,Chief Executives,Cresta World Travel t/a Uniglobe,,
2014-05-01,7833.00,Chief Executives,Enventure Consultancy Ltd,,
2014-05-01,62875.51,Adult Social Care,New Charter Housing Trust Ltd,,
2014-05-01,2150.00,Chief Executives,Buro Happold Limited,,
2014-05-01,882.00,Chief Executives,Buro Happold Limited,,
2014-05-01,1500.00,Regeneration Finance,Crowdfund UK,,
2014-05-01,3250.00,Chief Executives,SportsPro Media Ltd,,
2014-05-01,21000.00,Regeneration Finance,TerraQuest Solutions Limited,,
2014-05-01,528.00,Manchester Leisure,Redacted Personal Information,,
2014-05-02,2938.74,Childrens Services,Independent Childcare Group Schools,,
2014-05-02,2938.74,Childrens Services,Independent Childcare Group Schools,,
2014-05-02,2938.74,Childrens Services,Independent Childcare Group Schools,,
2014-05-02,529.77,Hospitality + Trading Services,Wolseley Util Ltd T/A Burdens,,
2014-05-02,1119.51,Corporate Services,Xerox Finance Ltd,,
2014-05-02,4867.00,Childrens Services,The Youth Justice Board,,
2014-05-02,4867.00,Childrens Services,The Youth Justice Board,,
2014-05-02,1256.00,Childrens Services,The Youth Justice Board,,
2014-05-02,8099.05,Childrens Services,European Wellcare Education Ltd,,
2014-05-02,6366.64,Childrens Services,European Wellcare Education Ltd,,
2014-05-02,1135.00,Housing Revenue Account,CIPFA Business Ltd,,
