Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Rents,2013-12-02,5100684785,2534.08,Mosscare Housing Ltd
Manchester City Council,Regeneration Finance,Rents,2013-12-02,5100684751,24375.00,Matthews & Goodman
Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-12-02,5100684877,645.33,Dennis Eagle Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-12-02,5100670291,601.71,Faun Zoeller (UK) Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2013-12-02,5100684726,3443.00,Winners Contract Hire Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-12-02,1903923317,525.20,Ecomix Concrete Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-02,5100684752,1128.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-02,5100684755,1078.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-02,5100684753,877.55,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-02,5100684756,877.55,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-02,5100684780,792.84,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903922910,1508.96,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903922994,1221.00,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903922911,705.44,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903923036,618.48,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903923101,593.58,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903922969,556.40,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903923004,549.50,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-02,1903923063,531.44,Brake Bros Foodservice Ltd
Manchester City Council,Chief Executives,Proffesional fees,2013-12-02,1903902392,1940.52,Heys Environmental Consultants Ltd
Manchester City Council,Chief Executives,I T Provision,2013-12-02,1903921424,5215.00,CDN Distribution
Manchester City Council,Childrens Services,ICT Sup & Maintnance,2013-12-02,5100684880,709.00,A1 Cad & Stationery Services Ltd
Manchester City Council,Hospitality + Trading Services,Compensation Payments,2013-12-02,1903912283,500.00,Redacted Personal Information
Manchester City Council,Childrens Services,Compensation Payments,2013-12-02,1903912275,521.57,Pearson Hinchliffe Solicitors
Manchester City Council,Housing Revenue Account,Compensation Payments,2013-12-02,1903912817,21000.00,Simpsons Solicitors
Manchester City Council,Housing Revenue Account,Compensation Payments,2013-12-02,1903912805,7000.00,Camps Solicitors
Manchester City Council,Learning Disabilities PB,Grant and subscriptions awarded,2013-12-02,5100684749,61484.50,Loreto College
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-12-02,5100684786,10658.33,Greater Manchester Immigration Aid
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-12-02,5100684714,50465.91,G & J Seddon Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-12-02,5100684715,29319.78,G & J Seddon Ltd
Manchester City Council,Housing General Fund,Surplus property Fees,2013-12-02,5100684813,1381.25,The Carbon Trust
Manchester City Council,Adult Social Care,Agency staff provision,2013-12-03,5100684906,1344.18,Routes Healthcare Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2013-12-03,5100684906,1241.74,Routes Healthcare Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2013-12-03,5100684906,690.86,Routes Healthcare Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2013-12-03,5100684893,650.01,Routes Healthcare Ltd
Manchester City Council,Childrens Services,Agency staff provision,2013-12-03,5100684854,1003.46,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,2013-12-03,5100684854,913.15,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,2013-12-03,5100684854,879.20,Sanctuary Social Care
Manchester City Council,Chief Executives,Agency staff provision,2013-12-03,5100684854,3770.45,Sanctuary Social Care
Manchester City Council,Manchester Leisure,Training and Development,2013-12-03,1903921493,650.00,Amber Publications & Training LLP
Manchester City Council,Adult Social Care,Training and Development,2013-12-03,5100677173,1330.00,University Of Manchester
Manchester City Council,Adult Social Care,Training and Development,2013-12-03,5100684789,1330.00,University Of Manchester
Manchester City Council,Corporate Services,External repairs and maintenance for buildings,2013-12-03,5100684793,38881.06,Manchester Working Ltd
Manchester City Council,Environment and Operations,Vandalism Repairs,2013-12-03,5100685138,1147.50,Graffiti Removal (North) Ltd
Manchester City Council,Adult Social Care,Rents,2013-12-03,5100684934,1547.17,Parkway Green Housing Trust
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,2013-12-03,5100684883,21133.10,Ocean Contract Cleaning Ltd
Manchester City Council,Hospitality + Trading Services,Refuse Collection,2013-12-03,5100684875,546.87,G.G. Rentals Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2013-12-03,1903923450,524.36,Alliance Disposables Ltd
Manchester City Council,Insurance Fund,Insurance,2013-12-03,1903919591,2977.00,Crosslee Primary School
Manchester City Council,Manchester Leisure,Grounds Maintenance,2013-12-03,5100684798,1500.00,Manchester Youth Academy
Manchester City Council,Manchester Leisure,Grounds Maintenance,2013-12-03,5100684799,1500.00,Manchester Youth Academy
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-12-03,5100685142,43047.10,Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-12-03,5100684980,36832.60,Specialist Vehicle rental
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2013-12-03,5100685139,1343.35,Manchester Van Hire Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,2013-12-03,5100673520,560.00,Cartax Radio Cars Oldham Ltd
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-12-03,5100684849,4475.00,Redacted Personal Information
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-12-03,5100684850,2932.00,Redacted Personal Information
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-12-03,5100684843,2932.00,Redacted Personal Information
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-12-03,5100684842,4475.00,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-03,5100685106,1203.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-03,5100685108,1203.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-03,5100685114,1203.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-03,5100684947,1078.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-12-03,5100684949,877.55,R & M Developments Ltd
Manchester City Council,Chief Executives,Hire of Equipment,2013-12-03,5100684716,1940.00,The Manchester Light & Stage
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-03,1903923455,1038.97,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-03,1903923458,889.68,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-03,1903923454,557.89,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-03,1903923448,524.27,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-12-03,1903923449,516.33,Brake Bros Foodservice Ltd
Manchester City Council,Chief Executives,Floral Decorations,2013-12-03,5100684750,1400.00,Verdure Floral Design Ltd
Manchester City Council,Chief Executives,Printing,2013-12-03,5100684810,700.00,Phil Tragen Photography Ltd
Manchester City Council,Regeneration Finance,Legal Fees,2013-12-03,5100684960,1994.00,DWF LLP
Manchester City Council,Childrens Services,Signers/Interpreters,2013-12-03,5100684747,639.35,Language Line Ltd
Manchester City Council,Chief Executives,Data Links,2013-12-03,5100667629,750.00,Metronet UK
Manchester City Council,Chief Executives,Data Links,2013-12-03,5100668402,750.00,Metronet UK
Manchester City Council,Chief Executives,Data Links,2013-12-03,5100672782,750.00,Metronet UK
Manchester City Council,Chief Executives,Data Links,2013-12-03,5100674380,750.00,Metronet UK
