Newcastle City Council Invoices over £250 paid in September 2017,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,11-Sep-2017,3663,7305060,Revenue,1KF07,Banqueting Suite,706.78
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19-Sep-2017,18 SEA VIEW VILLAS,7319383,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,Cityworks Clean E/C        ,Revenue Expenditure,11-Sep-2017,A & C WEBER UK,7174897,Revenue,1KE41,Domestic Refuse Collection,4210.00
Environment & Regeneration,Cityworks Clean E/C        ,Revenue Expenditure,11-Sep-2017,A & C WEBER UK,7185331,Revenue,1KE41,Domestic Refuse Collection,2947.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,19-Sep-2017,A WILDERNESS WAY,7319085,Revenue,1MC02,Ind Sector Placements,45964.29
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,20-Sep-2017,A&J KEITH LTD,7320502,Revenue,1KVWC,Minor Works Contracts,7728.74
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,21-Sep-2017,A&J KEITH LTD,7321597,Revenue,1KVWC,Minor Works Contracts,106804.34
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,15-Sep-2017,A&J KEITH LTD,7317251,Revenue,1KVEM,Mechanical Stand Alone Works,1848.63
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,15-Sep-2017,A&J KEITH LTD,7317187,Revenue,1KVWC,Minor Works Contracts,2222.00
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,12-Sep-2017,A&J KEITH LTD,7314575,Revenue,1KBRM,Sub Contractors R & M,145284.83
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,12-Sep-2017,A&J KEITH LTD,7314573,Revenue,1KBRM,Sub Contractors R & M,17498.80
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,01-Sep-2017,A&J KEITH LTD,7306593,Revenue,1KR01,Responsive Maintenance,450.00
Chief Executive's,CD - Customer Service Centres    ,Revenue Expenditure,06-Sep-2017,A&S LOCKSMITHS,7300944,Revenue,1EJ20,City Library Premises,342.00
Environment & Regeneration,Cityworks Parks & C/side   ,Revenue Expenditure,08-Sep-2017,A&S LOCKSMITHS,7294435,Revenue,1KL6D,General Expenditure - West,599.76
Children's Services,Childrens Services Support       ,Revenue Expenditure,28-Sep-2017,A1 FOSTER CARE,7327445,Revenue,1MF13,Adoption Support Fund,257.94
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,20-Sep-2017,AA GLOBAL LANGUAGES SERVICES LTD,7319181,Revenue,1CR01,Revs and Bens Supp&Svs,145.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,20-Sep-2017,AA GLOBAL LANGUAGES SERVICES LTD,7319181,Revenue,1MD68,Legal Fees Care,120.00
