Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-06-01,1600667518,5147.23,857.87,4289.36,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-01,1600667568,7251.72,1208.62,6043.10,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-01,1600667567,12335.40,2055.90,10279.50,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-01,1600667600,14137.20,2356.20,11781.00,Aecom Ltd,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2021-06-01,1600667674,876.00,146.00,730.00,Blake Envelopes,Service Reform (Corp Bus & Transform),Postage,
Salford City Council,2021-06-01,1600667647,11997.48,1999.58,9997.90,Bloom Procurement Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-01,1600667728,1509.08,251.51,1257.57,Capita Business Services Ltd,Place Directorate,Print & Photocopying,
Salford City Council,2021-06-01,1600667680,540.00,90.00,450.00,Causeway Technologies Ltd,Place Directorate,Computer Software,
Salford City Council,2021-06-01,601321527,612.50,0.00,612.50,Child Autism Uk,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-01,1600667681,900.00,0.00,900.00,Csin Cic,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-01,1600667682,1200.00,0.00,1200.00,Csin Cic,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-06-01,1600667664,1758.00,293.00,1465.00,Early Years Matters Ltd,People (Childrens) Service Group,Training of Others,
Salford City Council,2021-06-01,1600667705,9601.20,1600.20,8001.00,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls,
Salford City Council,2021-06-01,1600667665,8250.00,1375.00,6875.00,Egbert H Taylor & Co Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip,
Salford City Council,2021-06-01,1600663361,-19780.10,-3296.68,-16483.42,Enviro Technology Services Plc,Place Directorate,Sampling,
Salford City Council,2021-06-01,1600667742,17107.18,2851.20,14255.98,Enviro Technology Services Plc,Place Directorate,Sampling,
Salford City Council,2021-06-01,1600663362,17267.42,2877.90,14389.52,Enviro Technology Services Plc,Place Directorate,Sampling,
Salford City Council,2021-06-01,1600661760,199686.00,33281.00,166405.00,Greater Manchester Combined,Place Directorate,Payts to Other LA's,
Salford City Council,2021-06-01,1600667714,7200.00,1200.00,6000.00,Gt3 Architects Limited,Service Reform (Corp Bus & Transform),Ext Fees-Architects,
Salford City Council,2021-06-01,1600667738,6000.00,0.00,6000.00,Leverhulme Academy C Of E,People (Childrens) Service Group,Payts to Other LA's,
Salford City Council,2021-06-01,601321509,993.60,165.60,828.00,Molesworth Hotel,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-01,1600667733,880.49,146.75,733.74,Northern Municipal Spares Ltd,Place Directorate,PRICE DIFF VMS,
Salford City Council,2021-06-01,1600667660,3360.00,560.00,2800.00,Rcd Leaflet,Place Directorate,Print & Photocopying,
Salford City Council,2021-06-01,1600667695,700.00,0.00,700.00,Redacted Data,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-06-01,1600667715,2400.00,400.00,2000.00,Ridge And Partners Llp,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-06-01,601321494,787.20,131.20,656.00,Rm Education Plc,People (Childrens) Service Group,Class Supplies Capit,
Salford City Council,2021-06-01,601321545,5021.77,0.00,5021.77,Salix Homes Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2021-06-01,601321546,35562.02,0.00,35562.02,Salix Homes Ltd,People (Adults) - CHSC,Rents,
