Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,description
Salford City Council,2015-04-01,1600530688,513.97,85.67,428.3,Alliance Disposables Ltd,"Community, Health & Social Care",Cleaning Materials
Salford City Council,2015-04-01,1600531151,934.11,0,934.11,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600532122,2033,0,2033,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530720,2991.24,0,2991.24,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530722,2991.24,0,2991.24,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600531152,2996,0,2996,Alpha Plus Fostering  Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600532604,3996,0,3996,Autistic Society Gtr Manchester,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530297,1637.42,272.91,1364.51,B.S.K. Landscapes,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2015-04-01,1600531075,1000,0,1000,Beehive Manchester Limited,Children's Services,Pupil Assistance
Salford City Council,2015-04-01,1600530723,2161.32,0,2161.32,Bright Futures Care Ltd T/A Corners,Children's Services,Non-Maint Spec Schls
Salford City Council,2015-04-01,1600530715,14268.99,0,14268.99,Bright Futures Care Ltd T/A Corners,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,601137724,1122.08,0,1122.08,Brookvale,"Community, Health & Social Care",Day Care
Salford City Council,2015-04-01,1600530673,552,92,460,C. Masters Decorators Ltd,Customer and Support Services,Dev Servs Day to Day
Salford City Council,2015-04-01,1600530667,936,156,780,C. Masters Decorators Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-04-01,1600531783,13454.21,2242.37,11211.84,Central Power Services Ltd,Customer and Support Services,Computer Equipment
Salford City Council,2015-04-01,1600531784,13454.21,2242.37,11211.84,Central Power Services Ltd,Customer and Support Services,Computer Equipment
Salford City Council,2015-04-01,1600531148,3419.92,0,3419.92,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530945,4320.12,0,4320.12,Child Action North West,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600526140,1172.4,195.4,977,Cia 2000 Ltd,Sustainable Regeneration,UV Light/Fire
Salford City Council,2015-04-01,601138675,3120.04,0,3120.04,Compass Fostering Nw Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,601137593,3454.33,0,3454.33,Compass Fostering Nw Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,601137065,740,6,734,Complete Background Screening Ltd,Customer and Support Services,Other Prof Fees
Salford City Council,2015-04-01,601138814,785.8,6.3,779.5,Complete Background Screening Ltd,Children's Services,Other Prof Fees
Salford City Council,2015-04-01,601138820,872,6,866,Complete Background Screening Ltd,Children's Services,Other Prof Fees
Salford City Council,2015-04-01,601138819,970.8,7.8,963,Complete Background Screening Ltd,Children's Services,Other Prof Fees
Salford City Council,2015-04-01,601138815,1014.8,7.8,1007,Complete Background Screening Ltd,Children's Services,Other Prof Fees
Salford City Council,2015-04-01,601138636,186795.59,338.75,186456.84,Corona Energy,Capital Expenditure,Gas
Salford City Council,2015-04-01,601138648,1360,0,1360,Creative Support Limited,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-04-01,601138124,1168.25,0,1168.25,Derbyshire County Council,Children's Services,Hire of Facilities
Salford City Council,2015-04-01,1600531096,1008,168,840,Direct Healthcare Services Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-01,1600531807,258141.96,43023.66,215118.3,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2015-04-01,1600531045,1244.74,207.46,1037.28,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2015-04-01,1600531044,2177.06,362.84,1814.22,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2015-04-01,1600531043,3339.4,556.57,2782.83,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2015-04-01,1600531984,7302.36,458.16,6844.2,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2015-04-01,1600531810,11063.19,667.8,10395.39,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2015-04-01,1600531451,233160.49,38860.08,194300.41,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2015-04-01,1600531770,997.25,166.21,831.04,Ellesmere Engineering Co Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2015-04-01,1600531768,1250.4,208.4,1042,Ellesmere Engineering Co Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2015-04-01,1600531772,1538.83,256.47,1282.36,Ellesmere Engineering Co Ltd,Sustainable Regeneration,UV Air Con
Salford City Council,2015-04-01,1600530670,5286,881,4405,Elygra,Environment and Community Safety,Marketing/Publicity
Salford City Council,2015-04-01,1600530784,523.25,0,523.25,Fairfield Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530783,1025.57,0,1025.57,Fairfield Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530742,1484,0,1484,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,601138813,840,140,700,Forbes Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2015-04-01,1600531131,5143.52,0,5143.52,Fostering Outcomes Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600532387,2840.75,0,2840.75,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530754,3071.35,0,3071.35,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530743,3125.02,0,3125.02,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530731,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600532389,3360.24,0,3360.24,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530741,3476.34,0,3476.34,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530732,3520.67,0,3520.67,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600529653,1056.14,176.02,880.12,G Jones Builders,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-04-01,1600530542,6120.54,1020.09,5100.45,Garryowen Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2015-04-01,1600504474,1008.05,0,1008.05,Greater Manchester Combined,Capital Expenditure,Other Works
Salford City Council,2015-04-01,601138654,972,162,810,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2015-04-01,601138656,4233.04,0,4233.04,Helping Hands Homecare Agency,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-04-01,1600533042,7471.41,1245.24,6226.17,Ingenitech Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-04-01,1600531073,528,88,440,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-01,1600531079,528,88,440,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-01,1600531094,528,88,440,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-01,1600531080,1320,220,1100,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-01,1600529710,852.31,142.05,710.26,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2015-04-01,601137208,796,0,796,Lifeways Community Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-01,601137213,875.6,0,875.6,Lifeways Community Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-01,601138684,1472.6,0,1472.6,Lifeways Community Care,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-04-01,1600526702,526.52,87.75,438.77,Marlow & Son Ltd,Sustainable Regeneration,UV Prog Rep
Salford City Council,2015-04-01,1600531844,23886.69,3981.11,19905.58,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2015-04-01,1600531846,38228.64,6371.44,31857.2,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2015-04-01,1600531843,40037,6672.83,33364.17,Mast Lift Project Co (No2) Ltd,Customer and Support Services,Gas
Salford City Council,2015-04-01,601138682,14711.12,2451.85,12259.27,Meridian Business Support,Environment and Community Safety,Agency Fees
Salford City Council,2015-04-01,601138665,604.74,100.79,503.95,Morton Medical Ltd,"Community, Health & Social Care",Medical Health/Safe
Salford City Council,2015-04-01,1600533039,540,90,450,Network Installations Solutions Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2015-04-01,601138650,33471.93,0,33471.93,NHS Salford CCG,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-01,601138653,41692.44,0,41692.44,NHS Salford CCG,"Community, Health & Social Care",Resid Care Home
Salford City Council,2015-04-01,1600531642,571.2,95.2,476,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-04-01,1600531643,648,108,540,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-04-01,1600531101,13263.57,0,13263.57,Pathfinders (Childcare ) Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530719,3365.67,0,3365.67,Perpetual Fostering,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600531143,3778.34,0,3778.34,Perpetual Fostering,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,601136979,3941.34,0,3941.34,Perpetual Fostering,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530557,2643,440.5,2202.5,Public-I Group Ltd,Customer and Support Services,Other Prof Fees
Salford City Council,2015-04-01,1600530662,540,0,540,Redacted Data,Children's Services,Pupil Assistance
Salford City Council,2015-04-01,1600530689,1150,0,1150,Redacted Data,Children's Services,Other Prof Fees
Salford City Council,2015-04-01,601138662,1573.25,0,1573.25,Redacted Data,"Community, Health & Social Care",Payt to care clients
Salford City Council,2015-04-01,1600531141,3571.82,0,3571.82,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530718,3593.21,0,3593.21,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600531140,3593.21,0,3593.21,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600531132,3981.33,0,3981.33,Safehouses North Ltd,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,1600530721,3064.46,510.74,2553.72,Salford Royal Nhs Foundation Trust,Customer and Support Services,Other Prof Fees
Salford City Council,2015-04-01,1600530561,936,156,780,Sidhil  Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2015-04-01,601138703,643.2,107.2,536,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2015-04-01,1600530944,2506.4,0,2506.4,The National Fostering Agency,Children's Services,Payts to Agencies
Salford City Council,2015-04-01,601138409,2700.04,0,2700.04,The National Fostering Agency,Children's Services,Payts to Agencies
