Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2017-09-12,7.00,Communities & Service Support-Recreation & Support,A-Z MOTOR FACTORS,,
2017-09-05,5.42,Children and Young People-Childrens Care Services,ADRENALINE INTERNA,,
2017-09-06,51.85,Children and Young People-Schools and Children's Services - Non-School,ALDI,,
2017-08-29,42.43,Children and Young People-Childrens Care Services,ALDI,,
2017-09-04,65.64,Children and Young People-Childrens Care Services,ALDI,,
2017-08-21,6.71,Children and Young People-Childrens Care Services,ALDI,,
2017-07-13,7.64,Children and Young People-Childrens Care Services,ALDI,,
2017-07-25,9.93,Children and Young People-Childrens Care Services,ALDI,,
2017-08-29,14.08,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2017-08-29,22.37,"Adults, Health and Social Care-Adult Health & Social Care",ALDI,,
2017-09-05,19.17,Children and Young People-Childrens Care Services,ALDI 11 779,,
2017-09-05,8.09,Children and Young People-Childrens Care Services,ALDI 15 779,,
2017-09-14,60.06,Children and Young People-Childrens Care Services,ALDI 15 779,,
2017-10-09,62.76,Children and Young People-Childrens Care Services,ALDI 15 779,,
2017-10-13,30.52,Children and Young People-Childrens Care Services,ALDI 15 779,,
2017-10-13,7.45,Children and Young People-Childrens Care Services,ALDI 15 779,,
2017-09-05,5.83,"Adults, Health and Social Care-Adult Health & Social Care",ALDI 15 779,,
2017-09-12,11.11,"Adults, Health and Social Care-Adult Health & Social Care",ALDI 15 779,,
2017-09-12,10.79,"Adults, Health and Social Care-Adult Health & Social Care",ALDI 15 779,,
2017-09-19,7.35,"Adults, Health and Social Care-Adult Health & Social Care",ALDI 15 779,,
2017-09-19,25.93,"Adults, Health and Social Care-Adult Health & Social Care",ALDI 15 779,,
2017-09-26,13.08,"Adults, Health and Social Care-Adult Health & Social Care",ALDI 15 779,,
2017-09-26,10.58,"Adults, Health and Social Care-Adult Health & Social Care",ALDI 15 779,,
2017-09-19,9.24,Children and Young People-Schools and Children's Services - Non-School,ALDI 60 779,,
2017-09-19,14.95,Children and Young People-Childrens Care Services,ALDI 60 779,,
2017-10-05,7.49,Communities & Service Support-Recreation & Support,ALDI 60 779,,
2017-10-23,10.23,Communities & Service Support-Recreation & Support,ALDI 60 779,,
2017-10-19,280.10,Children and Young People-Childrens Care Services,ALLPAY MOTO (CALLPAY/I,,
2017-10-19,141.38,Children and Young People-Childrens Care Services,ALLPAY MOTO (CALLPAY/I,,
